time,distance
1461396444.4632292,0
1461396444.5215862,0
1461396444.5793965,0
1461396444.6377876,0
1461396444.696155,0
1461396444.7545362,0
1461396444.8123717,0
1461396444.8709638,0
1461396444.9293773,0
1461396444.988499,0
1461396445.046856,0
1461396445.1055336,0
1461396445.163826,0
1461396445.2222981,0
1461396445.2807593,0
1461396445.339517,0
1461396445.3981395,0
1461396445.456631,0
1461396445.5152068,0
1461396445.5737913,0
1461396445.6323662,0
1461396445.691003,0
1461396445.7487342,0
1461396445.8072133,0
1461396445.865762,0
1461396445.9242253,0
1461396445.9819837,0
1461396446.0407035,0
1461396446.0991998,0
1461396446.157776,0
1461396446.2162948,0
1461396446.2748919,0
1461396446.3335419,0
1461396446.3922372,0
1461396446.450663,0
1461396446.50956,0
1461396446.5681493,0
1461396446.626701,0
1461396446.6851711,0
1461396446.743694,0
1461396446.802168,0
1461396446.8608756,0
1461396446.9194,0
1461396446.9780188,0
1461396447.0364628,0
1461396447.0949075,0
1461396447.1523993,0
1461396447.2109876,0
1461396447.2695384,0
1461396447.3281474,0
1461396447.3859715,0
1461396447.444479,0
1461396447.5032,0
1461396447.561759,0
1461396447.6202924,0
1461396447.6787632,0
1461396447.7371793,0
1461396447.7956817,0
1461396447.8540795,0
1461396447.9128027,0
1461396447.970508,0
1461396448.0289829,0
1461396448.0876348,0
1461396448.1465023,0
1461396448.2040548,0
1461396448.2640655,1
1461396448.3241017,1
1461396448.3843706,1
1461396448.4444149,1
1461396448.5044675,2
1461396448.5644865,3
1461396448.62454,3
1461396448.684555,3
1461396448.7445807,4
1461396448.8046231,5
1461396448.864671,6
1461396448.924679,6
1461396448.9846914,8
1461396449.044741,8
1461396449.104767,9
1461396449.1648095,9
1461396449.2248352,10
1461396449.2848542,10
1461396449.344896,11
1461396449.40493,11
1461396449.4649472,12
1461396449.5249856,12
1461396449.585022,13
1461396449.645054,14
1461396449.705095,14
1461396449.7651327,15
1461396449.8251445,16
1461396449.8851871,16
1461396449.945221,17
1461396450.005262,18
1461396450.0652823,18
1461396450.1253064,19
1461396450.185348,18
1461396450.2453916,20
1461396450.305426,20
1461396450.365445,21
1461396450.4254594,22
1461396450.4855065,22
1461396450.545544,23
1461396450.6055756,23
1461396450.6656098,25
1461396450.7256322,25
1461396450.7856936,20
1461396450.845719,26
1461396450.9057305,27
1461396450.9657538,27
1461396451.025796,27
1461396451.085817,29
1461396451.1458523,29
1461396451.2058995,29
1461396451.2659423,29
1461396451.325966,31
1461396451.3859956,31
1461396451.4460154,31
1461396451.5060818,33
1461396451.5660884,34
1461396451.626142,33
1461396451.6859403,36
1461396451.7459626,37
1461396451.8060005,37
1461396451.8662724,36
1461396451.9262981,37
1461396451.986335,38
1461396452.046367,38
1461396452.1064062,39
1461396452.1664174,40
1461396452.2264552,40
1461396452.2864988,40
1461396452.3465593,41
1461396452.406561,42
1461396452.466621,42
1461396452.526652,42
1461396452.5866685,43
1461396452.6466997,44
1461396452.7067356,45
1461396452.766746,45
1461396452.8267944,46
1461396452.8868396,47
1461396452.9468539,48
1461396453.0068855,48
1461396453.0669115,49
1461396453.1269546,49
1461396453.1870098,50
1461396453.2470217,51
1461396453.30706,51
1461396453.3670964,52
1461396453.427121,52
1461396453.4871197,53
1461396453.5471795,54
1461396453.607223,54
1461396453.667258,54
1461396453.7272847,56
1461396453.7874782,55
1461396453.8473403,56
1461396453.907428,56
1461396453.9673939,58
1461396454.0274677,58
1461396454.0874453,60
1461396454.1475215,60
1461396454.2075305,59
1461396454.2676277,59
1461396454.3276167,60
1461396454.387663,62
1461396454.4476745,62
1461396454.507719,63
1461396454.5677307,64
1461396454.6277933,64
1461396454.6878197,64
1461396454.7478445,65
1461396454.8078656,66
1461396454.867869,66
1461396454.9279306,67
1461396454.987972,68
1461396455.0480058,68
1461396455.1080432,69
1461396455.168041,70
1461396455.228117,70
1461396455.2881286,71
1461396455.3481963,72
1461396455.4081974,72
1461396455.4682367,73
1461396455.5282683,73
1461396455.5883064,74
1461396455.648314,75
1461396455.7083488,74
1461396455.768376,75
1461396455.8284523,76
1461396455.8884766,77
1461396455.9484763,78
1461396456.0085344,78
1461396456.0685637,78
1461396456.1285748,80
1461396456.1886148,80
1461396456.2486606,81
1461396456.3087003,81
1461396456.3687463,81
1461396456.4287608,82
1461396456.488808,84
1461396456.5488045,84
1461396456.6088722,84
1461396456.6688638,85
1461396456.7288983,85
1461396456.7889628,86
1461396456.8489697,86
1461396456.9090033,87
1461396456.9690533,88
1461396457.0290895,88
1461396457.0891328,89
1461396457.1491532,89
1461396457.2092192,90
1461396457.2692366,91
1461396457.3293004,91
1461396457.389309,92
1461396457.4493313,93
1461396457.5093732,92
1461396457.5693579,94
1461396457.6294034,94
1461396457.6894336,95
1461396457.7494648,96
1461396457.8095062,94
1461396457.8695447,97
1461396457.9295533,97
1461396457.9895759,98
1461396458.049656,99
1461396458.109659,99
1461396458.1696808,100
1461396458.229712,101
1461396458.2897613,101
1461396458.349797,102
1461396458.4098554,103
1461396458.469856,103
1461396458.529911,103
1461396458.5899427,104
1461396458.64997,105
1461396458.70997,105
1461396458.77004,103
1461396458.8300881,106
1461396458.8901258,107
1461396458.9501474,108
1461396459.0101776,108
1461396459.07018,109
1461396459.1302247,110
1461396459.1902485,111
1461396459.2502773,111
1461396459.310331,111
1461396459.370363,112
1461396459.4303873,113
1461396459.4904358,114
1461396459.5504415,114
1461396459.610474,115
1461396459.6705425,115
1461396459.730541,116
1461396459.7906122,115
1461396459.8506444,116
1461396459.9106624,118
1461396459.9706783,119
1461396460.0307233,119
1461396460.0907521,120
1461396460.1507485,120
1461396460.2108068,121
1461396460.2708278,122
1461396460.330898,122
1461396460.3909357,123
1461396460.4509363,124
1461396460.511002,123
1461396460.5710192,124
1461396460.6310325,125
1461396460.691087,125
1461396460.7511075,126
1461396460.811134,127
1461396460.8711746,127
1461396460.9311843,128
1461396460.991222,129
1461396461.0512748,129
1461396461.1113105,130
1461396461.171331,131
1461396461.2313857,131
1461396461.2913995,132
1461396461.3514411,133
1461396461.4114556,133
1461396461.4715,133
1461396461.53156,134
1461396461.5915554,135
1461396461.6515965,136
1461396461.7116284,136
1461396461.7716446,137
1461396461.8316925,138
1461396461.8917212,138
1461396461.9518049,139
1461396462.0118215,139
1461396462.07181,140
1461396462.1318505,140
1461396462.1918895,141
1461396462.2519042,142
1461396462.3120115,142
1461396462.3719912,143
1461396462.4320667,143
1461396462.4920833,144
1461396462.5520916,144
1461396462.612118,146
1461396462.672146,146
1461396462.7321832,146
1461396462.7922165,147
1461396462.8522496,149
1461396462.9122784,148
1461396462.972298,149
1461396463.0323412,149
1461396463.092371,150
1461396463.152404,150
1461396463.2124407,152
1461396463.2724712,153
1461396463.332526,154
1461396463.3925214,153
1461396463.4525785,152
1461396463.5126276,155
1461396463.5726266,156
1461396463.632678,155
1461396463.6927054,157
1461396463.7527637,158
1461396463.812831,156
1461396463.872844,158
1461396463.9329362,157
1461396463.9929438,159
1461396464.052972,160
1461396464.1129706,161
1461396464.1730855,161
1461396464.2330544,162
1461396464.293116,162
1461396464.3531418,163
1461396464.4131496,164
1461396464.473166,164
1461396464.533239,165
1461396464.593255,165
1461396464.6532593,166
1461396464.7132878,166
1461396464.7733467,167
1461396464.8336112,168
1461396464.8933818,168
1461396464.9534612,169
1461396465.013461,169
1461396465.0734541,170
1461396465.133519,170
1461396465.193555,172
1461396465.2535727,173
1461396465.313623,172
1461396465.3736327,173
1461396465.4336584,174
1461396465.4938066,175
1461396465.5537238,175
