time,distance,uavangle,height
1461464138.396282,0,0,56
1461464138.451609,0,0,56
1461464138.506924,0,0,56
1461464138.5622988,0,0,56
1461464138.6176739,0,0,56
1461464138.6729908,0,0,56
1461464138.7282894,0,0,56
1461464138.783574,0,0,56
1461464138.8388143,0,0,56
1461464138.8940456,0,0,56
1461464138.94935,0,0,56
1461464139.0046053,0,0,56
1461464139.0598462,0,0,56
1461464139.115074,0,0,56
1461464139.1703086,0,0,56
1461464139.2255263,0,0,56
1461464139.2808018,0,0,56
1461464139.3360643,0,0,56
1461464139.3913298,0,0,56
1461464139.446594,0,0,56
1461464139.5018914,0,0,56
1461464139.5571337,0,0,56
1461464139.6125038,0,0,56
1461464139.6677732,0,0,56
1461464139.7230155,0,0,56
1461464139.778288,0,0,56
1461464139.8335195,0,0,56
1461464139.8887484,0,0,56
1461464139.9440544,0,0,56
1461464139.9992864,0,0,56
1461464140.0545464,0,0,56
1461464140.1099334,0,0,56
1461464140.1653137,0,0,56
1461464140.2206464,0,0,56
1461464140.275945,0,0,56
1461464140.3311563,0,0,56
1461464140.386319,0,0,56
1461464140.44151,0,0,56
1461464140.496671,0,0,56
1461464140.5518525,0,0,56
1461464140.6071165,0,0,57
1461464140.6624577,0,0,56
1461464140.717773,0,0,56
1461464140.7730234,0,0,57
1461464140.8282456,0,0,56
1461464140.88349,0,0,56
1461464140.9386916,0,0,56
1461464140.993859,0,0,56
1461464141.0490942,0,0,56
1461464141.104311,0,0,56
1461464141.1594913,0,0,56
1461464141.2146456,0,0,56
1461464141.269875,0,0,56
1461464141.3250413,0,0,56
1461464141.380186,0,0,56
1461464141.4353786,0,0,56
1461464141.4907346,0,0,56
1461464141.5533972,0,0,56
1461464141.628285,0,0,56
1461464141.683603,0,0,57
1461464141.7280173,4,0,56
1461464141.7880585,5,0,56
1461464141.8480856,6,0,57
1461464141.9081252,7,0,56
1461464141.9681394,8,0,57
1461464142.0281687,9,0,56
1461464142.0882084,10,0,56
1461464142.1482296,11,0,57
1461464142.208261,13,0,56
1461464142.2682993,13,0,56
1461464142.3283312,14,0,56
1461464142.388361,15,0,56
1461464142.4483986,16,0,56
1461464142.5084178,18,0,56
1461464142.5687096,18,0,56
1461464142.6287308,19,0,56
1461464142.6887705,19,-1,57
1461464142.748808,20,0,56
1461464142.808853,21,-1,56
1461464142.8688512,22,-1,57
1461464142.928879,23,0,57
1461464142.9889505,25,0,57
1461464143.048951,27,0,56
1461464143.1089783,27,0,56
1461464143.1689944,29,0,56
1461464143.229032,29,-1,56
1461464143.2890565,30,0,56
1461464143.3490865,32,0,56
1461464143.4091225,33,0,56
1461464143.469161,34,0,56
1461464143.5291843,35,0,56
1461464143.5892446,36,0,56
1461464143.649249,37,0,56
1461464143.7092848,38,-1,56
1461464143.769319,39,0,56
1461464143.8293304,40,0,56
1461464143.8893933,41,-1,56
1461464143.9494095,42,0,56
1461464144.009435,44,0,56
1461464144.069481,44,0,56
1461464144.1295166,46,0,56
1461464144.189538,46,-1,56
1461464144.249579,48,-1,56
1461464144.309599,49,0,56
1461464144.3696287,50,0,56
1461464144.4296534,51,0,56
1461464144.48969,52,0,56
1461464144.5497158,53,-1,56
1461464144.6097546,54,0,56
1461464144.6697812,55,0,56
1461464144.7298405,57,0,56
1461464144.7898486,57,0,56
1461464144.8498902,59,0,56
1461464144.9099214,59,0,56
1461464144.969974,60,-1,56
1461464145.029974,62,0,56
1461464145.0900078,62,-1,56
1461464145.150041,64,0,56
1461464145.2100646,65,0,56
1461464145.2700942,66,0,56
1461464145.3301249,67,0,56
1461464145.3901567,68,0,56
1461464145.4502394,69,-1,56
1461464145.51025,70,0,56
1461464145.5702848,71,0,56
1461464145.6302927,73,0,56
1461464145.6903265,73,-1,56
1461464145.7503517,75,0,56
1461464145.810411,75,0,56
1461464145.8704517,76,0,56
1461464145.9304767,77,0,56
1461464145.990472,79,0,56
1461464146.0505025,80,0,56
1461464146.1105456,81,-1,56
1461464146.1705768,82,-1,56
1461464146.2306075,80,-1,56
1461464146.2906706,84,0,56
1461464146.3506808,86,0,57
1461464146.4107006,86,0,56
1461464146.4707432,87,0,56
1461464146.5307562,89,0,56
1461464146.5907927,90,0,56
1461464146.6508331,91,-1,56
1461464146.710865,92,0,56
1461464146.7709033,92,0,56
1461464146.830927,94,0,56
1461464146.8909616,95,0,56
1461464146.9509797,96,0,56
1461464147.0110095,97,-1,56
1461464147.0710294,99,0,56
1461464147.1310704,99,-1,56
1461464147.191101,101,0,56
1461464147.251138,102,0,56
1461464147.3111649,103,0,56
1461464147.3711967,104,0,56
1461464147.431259,104,-1,56
1461464147.4912782,106,0,56
1461464147.5512807,107,0,56
1461464147.6113472,108,-1,56
1461464147.671358,110,0,56
1461464147.731378,109,-1,56
1461464147.7914152,111,0,56
1461464147.851446,113,0,56
1461464147.9115343,113,0,56
1461464147.9715228,114,0,56
1461464148.0315342,116,0,56
1461464148.0916116,115,-1,56
1461464148.1516168,118,0,56
1461464148.2116191,118,-1,57
1461464148.2716684,120,0,56
1461464148.3316903,120,-1,56
1461464148.3917236,122,0,57
1461464148.4517694,123,-1,56
1461464148.5118048,124,0,56
1461464148.5718281,124,-1,56
1461464148.63186,127,0,56
1461464148.6918712,126,-1,56
1461464148.7519145,128,-1,56
1461464148.8119352,129,0,56
1461464148.8719835,130,0,56
1461464148.9320228,131,-1,56
1461464148.9920843,132,-1,57
1461464149.0520647,133,-1,56
1461464149.112104,135,0,56
1461464149.1721308,136,0,56
1461464149.2323706,138,0,56
1461464149.292201,138,0,56
1461464149.3522673,138,-1,56
1461464149.4122813,139,-1,56
1461464149.472308,140,-1,56
1461464149.5323308,143,0,57
1461464149.5923638,144,0,56
1461464149.6523852,145,0,56
1461464149.7124386,146,0,56
1461464149.772459,146,0,56
1461464149.8324864,148,0,56
1461464149.892538,149,0,56
1461464149.952542,149,-1,56
1461464150.0123396,152,0,56
1461464150.0726216,152,0,56
1461464150.13265,153,0,56
1461464150.1926575,153,-1,56
1461464150.2527187,156,0,56
1461464150.312489,156,-1,55
1461464150.3727722,157,-1,56
1461464150.4327848,158,-1,57
1461464150.4928312,160,0,57
1461464150.5528228,160,-1,56
1461464150.612884,160,-1,57
1461464150.6729176,163,0,57
1461464150.7329404,164,0,57
1461464150.7929714,164,-1,57
1461464150.8530169,166,0,57
1461464150.9128165,168,0,56
1461464150.973071,168,-1,56
1461464151.0330968,170,0,57
1461464151.0931382,170,0,57
1461464151.1531525,171,-1,57
1461464151.2131934,172,-1,57
1461464151.2732258,172,-1,57
1461464151.3332558,174,-1,57
1461464151.3932834,175,-1,56
1461464151.4533193,176,-1,57
1461464151.5131092,178,-1,56
1461464151.573161,180,0,56
1461464151.6331816,181,0,56
1461464151.6931999,181,0,56
1461464151.753241,183,0,57
1461464151.8132637,184,-1,56
1461464151.8733127,185,-1,56
1461464151.9333463,186,-1,56
1461464151.9933612,187,0,56
1461464152.0533931,188,-1,56
1461464152.113424,189,-1,56
1461464152.1734955,190,-1,56
1461464152.2334952,191,-1,57
1461464152.2935355,192,-1,56
